ClassFeature	Model	R2	RMS
C0_Basal_R	exp2	0.32513747506288	0.0370915305293178
C0_Basal_L	poly1	0.235942827801838	0.0444676287497315
C0_Basal_L	poly2	0.244608172003774	0.0458838155832761
C0_Basal_L	poly3	0.263190309578103	0.0471663318331905
C0_Basal_L	exp1	0.234794249955957	0.0445010394386927
C0_Basal_L	exp2	0.248669761150835	0.0476288254501518
C0_Basal_R	poly1	0.0734378618248769	0.0496062047389842
C0_Basal_R	poly2	0.170298435136135	0.0483027072915906
C0_Basal_R	poly3	0.232294676575069	0.0478930244636321
C0_Basal_R	exp1	0.0745720083168919	0.0495758355237903
C0_Basal_R	exp2	0.196832256777639	0.0489866924032327
